5/7/2021 9:09:06 AM,Domain Networks

Enterprise Geodatabase,file:///C:/Users/mike/AppData/Local/Temp/ArcGISProTemp56640/cb2ab6ec990ede1a3d3c83d65b4c1634.sde
Utility Network Name,meh.unadmin.ElectricUN
Utility Network Release,3
ArcGIS Pro Version,2.7.0.0

DomainNetworkID,DomainName,TierRank,Tier,TierGroup,TopologyType,SupportDisjointSubnetworks,UpdateSubnetworkContainers,UpdateSubnetworkStructures
1,Structure,,,,,,,
2,Electric,,,,,,,
,,1,Electric Generation Station,,Mesh,True,,
,,2,Electric Transmission,,Mesh,True,,
,,3,Electric Sub Transmission,,Mesh,True,,
,,4,Electric Distribution Substation,,Radial,True,,
,,5,Electric Distribution,,Radial,False,,
,,5,Electric Distribution Mesh,,Mesh,True,,
,,6,Electric Secondary Mesh,,Mesh,True,,
,,6,Electric Secondary Radial,,Radial,False,,
,,,,,,,,
,,,,,,,,
TierRank,TierName,Property,Descriptor,Value
,Electric Generation Station,,High Voltage Generation,Battery
,Electric Generation Station,,High Voltage Generation,Biomass
,Electric Generation Station,,High Voltage Generation,Coal
,Electric Generation Station,,High Voltage Generation,Gas Turbine
,Electric Generation Station,,High Voltage Generation,Geothermal
,Electric Generation Station,,High Voltage Generation,Hydro
,Electric Generation Station,,High Voltage Generation,Nuclear
,Electric Generation Station,,High Voltage Generation,Photovoltaic Solar
,Electric Generation Station,,High Voltage Generation,Thermal Solar
,Electric Generation Station,,High Voltage Generation,Wind
,Electric Generation Station,,High Voltage Power Conversion,Inverter
,Electric Generation Station,,High Voltage Power Conversion,Rectifier
,Electric Generation Station,,Medium Voltage Circuit Breaker,Isolator Switch
,Electric Generation Station,,High Voltage Switch,AC Circuit Breaker
,Electric Generation Station,,High Voltage Switch,DC Circuit Breaker
,Electric Generation Station,,High Voltage Switch,AC Bus Tie Breaker
,Electric Generation Station,,High Voltage Switch,DC Bus Tie Breaker
,Electric Generation Station,,Medium Voltage Control Unit,MV Circuit Breaker
,Electric Generation Station,,High Voltage Transformer,AC Single Phase Power
,Electric Generation Station,,High Voltage Transformer,AC Three Phase Power
,Electric Generation Station,,High Voltage Transformer,DC Power
,Electric Generation Station,,Medium Voltage Elbow,Three Phase Dead Break
,Electric Generation Station,,Medium Voltage Elbow,Three Phase Load Break
,Electric Generation Station,,Medium Voltage Fuse,Indoor Fuse
,Electric Generation Station,,Medium Voltage Fuse,Overhead Cutout Fused Disconnect
,Electric Generation Station,,Medium Voltage Fuse,Overhead Cutout Fused Load Break
,Electric Generation Station,,Medium Voltage Generation,Battery
,Electric Generation Station,,Medium Voltage Generation,Biomass
,Electric Generation Station,,Medium Voltage Generation,Gas Turbine
,Electric Generation Station,,Medium Voltage Generation,Geothermal
,Electric Generation Station,,Medium Voltage Generation,Hydro
,Electric Generation Station,,Medium Voltage Generation,Photovoltaic Solar
,Electric Generation Station,,Medium Voltage Generation,Thermal Solar
,Electric Generation Station,,Medium Voltage Generation,Wind
,Electric Generation Station,,Medium Voltage Generation,Generator
,Electric Generation Station,,Medium Voltage Line Monitor and Relay,MV Instrument Transformer
,Electric Generation Station,,Medium Voltage Line Monitor and Relay,Programmable Logic Unit
,Electric Generation Station,,Medium Voltage Line Monitor and Relay,Remote Terminal Unit
,Electric Generation Station,,Medium Voltage Line Monitor and Relay,SCADA Load Monitor
,Electric Generation Station,,Medium Voltage Line Monitor and Relay,SCADA Weather Station
,Electric Generation Station,,Medium Voltage Line Monitor and Relay,MV Relay
,Electric Generation Station,,Medium Voltage Switch,Pad Mounted Single Phase Sectionalizer
,Electric Generation Station,,Medium Voltage Switch,Pad Mounted Three Phase Sectionalizer
,Electric Generation Station,,Medium Voltage Switch,Station Single Phase
,Electric Generation Station,,Medium Voltage Switch,Station Three Phase
,Electric Generation Station,,Medium Voltage Switch,Bus Tie Breaker
,Electric Generation Station,,,
,Electric Generation Station,Valid Lines - 13,Asset Group,Asset Type
,Electric Generation Station,,High Voltage Busbar,AC Station Single Phase
,Electric Generation Station,,High Voltage Busbar,AC Station Three Phase
,Electric Generation Station,,High Voltage Busbar,DC Station
,Electric Generation Station,,Medium Voltage Conductor,Overhead Three Phase
,Electric Generation Station,,Medium Voltage Conductor,Submersible Three Phase
,Electric Generation Station,,Medium Voltage Conductor,Underground Three Phase
,Electric Generation Station,,High Voltage Connector,AC Connector
,Electric Generation Station,,High Voltage Connector,DC Connector
,Electric Generation Station,,Medium Voltage Busbar,Station Single Phase
,Electric Generation Station,,Medium Voltage Busbar,Station Three Phase
,Electric Generation Station,,Medium Voltage Connector,Single Phase
,Electric Generation Station,,Medium Voltage Connector,Three Phase
,Electric Generation Station,,Medium Voltage Connector,Two Phase
,Electric Generation Station,,,
,Electric Generation Station,Aggregrated Lines for SubnetLine Feature - 5,Asset Group,Asset Type
,Electric Generation Station,,Medium Voltage Busbar,Station Single Phase
,Electric Generation Station,,Medium Voltage Busbar,Station Three Phase
,Electric Generation Station,,Medium Voltage Conductor,Overhead Three Phase
,Electric Generation Station,,Medium Voltage Conductor,Submersible Three Phase
,Electric Generation Station,,Medium Voltage Conductor,Underground Three Phase
,Electric Generation Station,,,
,Electric Generation Station,Valid Junctions - 0,Asset Group,Asset Type
,Electric Generation Station,,,
,Electric Generation Station,Subnetwork Diagram Templates - 0,,
,Electric Generation Station,,,
2,Electric Transmission,,,
,Electric Transmission,Trace Configuration,Property,Value
,Electric Transmission,,Condition Barriers,'E:Device Status' = 1 OR 'Lifecycle Status' DoesNotIncludeAny 24 OR 'Category' = E:Ground
,Electric Transmission,,Apply Traversibiilty To,JunctionsAndEdges
,Electric Transmission,,Propagators,
,Electric Transmission,,Summaries,
,Electric Transmission,,,Add('E:Power') 'Category' = E:Power Transformer totalkva
,Electric Transmission,,,Add('E:Power') 'Category' = E:Reactive Power totalkvar
,Electric Transmission,,,Add('Shape length') 'Category' = E:High Voltage Cable circuitlength
,Electric Transmission,,,Count('Device Asset Group') 'Category' = E:Power Transformer totaltransformercount
,Electric Transmission,,,Count('Device Asset Group') 'Category' = E:Switching totalswitchcount
,Electric Transmission,,,
,Electric Transmission,Valid Subnetwork Controllers - 2,Asset Group,Asset Type
,Electric Transmission,,High Voltage Transformer,AC Three Phase Power
,Electric Transmission,,High Voltage Transformer,DC Power
,Electric Transmission,,,
,Electric Transmission,Valid Devices - 36,Asset Group,Asset Type
,Electric Transmission,,High Voltage Service,AC Metering
,Electric Transmission,,High Voltage Service,DC Metering
,Electric Transmission,,Ground,Bound
,Electric Transmission,,Ground,Rod
,Electric Transmission,,Ground,Voltage Grid
,Electric Transmission,,High Voltage Arrester,HV Indoor Arrester
,Electric Transmission,,High Voltage Arrester,HV Line Arrester
,Electric Transmission,,High Voltage Arrester,HV Station Arrester
,Electric Transmission,,High Voltage Control Unit,HV Capacitor
,Electric Transmission,,High Voltage Control Unit,Switch and Breaker
,Electric Transmission,,High Voltage Control Unit,Voltage Regulator
,Electric Transmission,,High Voltage Line Monitor and Relay,HV Fault Indicator
,Electric Transmission,,High Voltage Line Monitor and Relay,HV Instrument Transformer
,Electric Transmission,,High Voltage Line Monitor and Relay,HV Load Monitor
,Electric Transmission,,High Voltage Line Monitor and Relay,HV Relay
,Electric Transmission,,High Voltage Power Conversion,Inverter
,Electric Transmission,,High Voltage Power Conversion,Rectifier
,Electric Transmission,,High Voltage Power Factor Correcting,AC Capacitor
,Electric Transmission,,High Voltage Power Factor Correcting,AC Wave Trap
,Electric Transmission,,High Voltage Power Factor Correcting,AC Reactor
,Electric Transmission,,High Voltage Power Factor Correcting,DC Capacitor
,Electric Transmission,,High Voltage Power Factor Correcting,DC Reactor
,Electric Transmission,,High Voltage Regulator,AC Single Phase
,Electric Transmission,,High Voltage Regulator,AC Three Phase
,Electric Transmission,,High Voltage Regulator,DC Regulator
,Electric Transmission,,High Voltage Switch,AC Circuit Breaker
,Electric Transmission,,High Voltage Switch,AC Disconnect
,Electric Transmission,,High Voltage Switch,AC Switchgear
,Electric Transmission,,High Voltage Switch,DC Circuit Breaker
,Electric Transmission,,High Voltage Switch,DC Disconnect
,Electric Transmission,,High Voltage Switch,DC Switchgear
,Electric Transmission,,High Voltage Switch,AC Bus Tie Breaker
,Electric Transmission,,High Voltage Switch,DC Bus Tie Breaker
,Electric Transmission,,High Voltage Transformer,AC Three Phase Power
,Electric Transmission,,High Voltage Transformer,DC Power
,Electric Transmission,,High Voltage Transformer,HV Grounding Transformer
,Electric Transmission,,,
,Electric Transmission,Valid Lines - 13,Asset Group,Asset Type
,Electric Transmission,,High Voltage Busbar,AC Station Single Phase
,Electric Transmission,,High Voltage Busbar,AC Station Three Phase
,Electric Transmission,,High Voltage Busbar,DC Station
,Electric Transmission,,High Voltage Conductor,AC Overhead
,Electric Transmission,,High Voltage Conductor,AC Submersible
,Electric Transmission,,High Voltage Conductor,AC Underground
,Electric Transmission,,High Voltage Conductor,DC Overhead
,Electric Transmission,,High Voltage Conductor,DC Submersible
,Electric Transmission,,High Voltage Conductor,DC Underground
,Electric Transmission,,High Voltage Connector,AC Connector
,Electric Transmission,,High Voltage Connector,DC Connector
,Electric Transmission,,High Voltage Static Wire,Double
,Electric Transmission,,High Voltage Static Wire,Single
,Electric Transmission,,,
,Electric Transmission,Aggregrated Lines for SubnetLine Feature - 6,Asset Group,Asset Type
,Electric Transmission,,High Voltage Conductor,AC Overhead
,Electric Transmission,,High Voltage Conductor,AC Submersible
,Electric Transmission,,High Voltage Conductor,AC Underground
,Electric Transmission,,High Voltage Conductor,DC Overhead
,Electric Transmission,,High Voltage Conductor,DC Submersible
,Electric Transmission,,High Voltage Conductor,DC Underground
,Electric Transmission,,,
,Electric Transmission,Valid Junctions - 0,Asset Group,Asset Type
,Electric Transmission,,,
,Electric Transmission,Subnetwork Diagram Templates - 0,,
,Electric Transmission,,,
3,Electric Sub Transmission,,,
,Electric Sub Transmission,Trace Configuration,Property,Value
,Electric Sub Transmission,,Condition Barriers,'E:Device Status' = 1 OR 'Lifecycle Status' DoesNotIncludeAny 24 OR 'Category' = E:Ground
,Electric Sub Transmission,,Apply Traversibiilty To,JunctionsAndEdges
,Electric Sub Transmission,,Propagators,
,Electric Sub Transmission,,Summaries,
,Electric Sub Transmission,,,Add('E:Power') 'Category' = E:Power Transformer totalkva
,Electric Sub Transmission,,,Add('E:Power') 'Category' = E:Reactive Power totalkvar
,Electric Sub Transmission,,,Add('Shape length') 'Category' = E:High to Medium Voltage Cable circuitlength
,Electric Sub Transmission,,,Count('Device Asset Group') 'Category' = E:Switching totalswitchcount
,Electric Sub Transmission,,,Count('E:Device Status') 'Category' = E:Power Transformer totaltransformercount
,Electric Sub Transmission,,,
,Electric Sub Transmission,Valid Subnetwork Controllers - 3,Asset Group,Asset Type
,Electric Sub Transmission,,High Voltage Transformer,AC Three Phase Power
,Electric Sub Transmission,,Medium Voltage Circuit Breaker,Three Phase Circuit Breaker
,Electric Sub Transmission,,Medium Voltage Transformer,Subsurface Three Phase
,Electric Sub Transmission,,,
,Electric Sub Transmission,Valid Devices - 151,Asset Group,Asset Type
,Electric Sub Transmission,,High Voltage Service,AC Metering
,Electric Sub Transmission,,High Voltage Service,DC Metering
,Electric Sub Transmission,,Ground,Bound
,Electric Sub Transmission,,Ground,Rod
,Electric Sub Transmission,,Ground,Voltage Grid
,Electric Sub Transmission,,High Voltage Arrester,HV Indoor Arrester
,Electric Sub Transmission,,High Voltage Arrester,HV Line Arrester
,Electric Sub Transmission,,High Voltage Arrester,HV Station Arrester
,Electric Sub Transmission,,High Voltage Control Unit,HV Capacitor
,Electric Sub Transmission,,High Voltage Control Unit,Switch and Breaker
,Electric Sub Transmission,,High Voltage Control Unit,Voltage Regulator
,Electric Sub Transmission,,High Voltage Line Monitor and Relay,HV Fault Indicator
,Electric Sub Transmission,,High Voltage Line Monitor and Relay,HV Instrument Transformer
,Electric Sub Transmission,,High Voltage Line Monitor and Relay,HV Load Monitor
,Electric Sub Transmission,,High Voltage Line Monitor and Relay,HV Relay
,Electric Sub Transmission,,High Voltage Power Conversion,Inverter
,Electric Sub Transmission,,High Voltage Power Conversion,Rectifier
,Electric Sub Transmission,,High Voltage Power Factor Correcting,AC Capacitor
,Electric Sub Transmission,,High Voltage Power Factor Correcting,AC Wave Trap
,Electric Sub Transmission,,High Voltage Power Factor Correcting,AC Reactor
,Electric Sub Transmission,,High Voltage Power Factor Correcting,DC Capacitor
,Electric Sub Transmission,,High Voltage Power Factor Correcting,DC Reactor
,Electric Sub Transmission,,High Voltage Regulator,AC Single Phase
,Electric Sub Transmission,,High Voltage Regulator,AC Three Phase
,Electric Sub Transmission,,High Voltage Regulator,DC Regulator
,Electric Sub Transmission,,High Voltage Switch,AC Circuit Breaker
,Electric Sub Transmission,,High Voltage Switch,AC Disconnect
,Electric Sub Transmission,,High Voltage Switch,AC Switchgear
,Electric Sub Transmission,,High Voltage Switch,DC Circuit Breaker
,Electric Sub Transmission,,High Voltage Switch,DC Disconnect
,Electric Sub Transmission,,High Voltage Switch,DC Switchgear
,Electric Sub Transmission,,High Voltage Switch,AC Bus Tie Breaker
,Electric Sub Transmission,,High Voltage Switch,DC Bus Tie Breaker
,Electric Sub Transmission,,High Voltage Transformer,AC Single Phase Power
,Electric Sub Transmission,,High Voltage Transformer,AC Three Phase Power
,Electric Sub Transmission,,High Voltage Transformer,DC Power
,Electric Sub Transmission,,High Voltage Transformer,HV Grounding Transformer
,Electric Sub Transmission,,Medium Voltage Arrester,MV Elbow Arrester
,Electric Sub Transmission,,Medium Voltage Arrester,MV Line Arrester
,Electric Sub Transmission,,Medium Voltage Arrester,MV Station Arrester
,Electric Sub Transmission,,Medium Voltage Circuit Breaker,Isolator Switch
,Electric Sub Transmission,,Medium Voltage Circuit Breaker,Single Phase Circuit Breaker
,Electric Sub Transmission,,Medium Voltage Circuit Breaker,Three Phase Circuit Breaker
,Electric Sub Transmission,,Medium Voltage Circuit Breaker,Two Phase Circuit Breaker
,Electric Sub Transmission,,Medium Voltage Control Unit,MV Capacitor
,Electric Sub Transmission,,Medium Voltage Control Unit,MV Circuit Breaker
,Electric Sub Transmission,,Medium Voltage Control Unit,MV Recloser
,Electric Sub Transmission,,Medium Voltage Control Unit,MV Transfer Switch Controller
,Electric Sub Transmission,,Medium Voltage Control Unit,MV Regulator
,Electric Sub Transmission,,Medium Voltage Elbow,Load Break Feedthru
,Electric Sub Transmission,,Medium Voltage Elbow,Load Break Junction
,Electric Sub Transmission,,Medium Voltage Elbow,Single Phase Dead Break
,Electric Sub Transmission,,Medium Voltage Elbow,Single Phase Load Break
,Electric Sub Transmission,,Medium Voltage Elbow,Three Phase Dead Break
,Electric Sub Transmission,,Medium Voltage Elbow,Three Phase Load Break
,Electric Sub Transmission,,Medium Voltage Fuse,Bayonet
,Electric Sub Transmission,,Medium Voltage Fuse,Fault Limiter
,Electric Sub Transmission,,Medium Voltage Fuse,Indoor Fuse
,Electric Sub Transmission,,Medium Voltage Fuse,Overhead Cutout Fused Disconnect
,Electric Sub Transmission,,Medium Voltage Fuse,Overhead Cutout Fused Load Break
,Electric Sub Transmission,,Medium Voltage Fuse,Overhead Cutout Sectionalizer
,Electric Sub Transmission,,Medium Voltage Fuse,Overhead Cutout Solid Blade
,Electric Sub Transmission,,Medium Voltage Fuse,Cabinet Fuse
,Electric Sub Transmission,,Medium Voltage Fuse,Underground Fuse
,Electric Sub Transmission,,Medium Voltage Fuse,Underground Fuse Disconnect
,Electric Sub Transmission,,Medium Voltage Fuse,Underground Fuse Load Break
,Electric Sub Transmission,,Medium Voltage Generation,Battery
,Electric Sub Transmission,,Medium Voltage Generation,Biomass
,Electric Sub Transmission,,Medium Voltage Generation,Gas Turbine
,Electric Sub Transmission,,Medium Voltage Generation,Geothermal
,Electric Sub Transmission,,Medium Voltage Generation,Hydro
,Electric Sub Transmission,,Medium Voltage Generation,Photovoltaic Solar
,Electric Sub Transmission,,Medium Voltage Generation,Thermal Solar
,Electric Sub Transmission,,Medium Voltage Generation,Wind
,Electric Sub Transmission,,Medium Voltage Generation,Generator
,Electric Sub Transmission,,Medium Voltage Line Monitor and Relay,MV Instrument Transformer
,Electric Sub Transmission,,Medium Voltage Line Monitor and Relay,Programmable Logic Unit
,Electric Sub Transmission,,Medium Voltage Line Monitor and Relay,Remote Terminal Unit
,Electric Sub Transmission,,Medium Voltage Line Monitor and Relay,SCADA Load Monitor
,Electric Sub Transmission,,Medium Voltage Line Monitor and Relay,SCADA Weather Station
,Electric Sub Transmission,,Medium Voltage Line Monitor and Relay,MV Relay
,Electric Sub Transmission,,Medium Voltage Motor and Pump,Single Phase Motor
,Electric Sub Transmission,,Medium Voltage Motor and Pump,Single Phase Pump
,Electric Sub Transmission,,Medium Voltage Motor and Pump,Three Phase Motor
,Electric Sub Transmission,,Medium Voltage Motor and Pump,Three Phase Pump
,Electric Sub Transmission,,Medium Voltage Power Conversion,Single Phase Inverter
,Electric Sub Transmission,,Medium Voltage Power Conversion,Single Phase Rectifier
,Electric Sub Transmission,,Medium Voltage Power Conversion,Three Phase Inverter
,Electric Sub Transmission,,Medium Voltage Power Conversion,Three Phase Rectifier
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Mobile Harmonic Filter
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Mobile Reactor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Pad Mounted Harmonic Filter
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Pad Mounted Reactor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Station Capacitor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Station Harmonic Filter
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Station Reactor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Mobile Capacitor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Overhead Single Phase Capacitor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Overhead Three Phase Capacitor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Overhead Harmonic Filter
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Overhead Reactor
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Pad Mounted Capacitor Single Phase
,Electric Sub Transmission,,Medium Voltage Power Factor Correcting,Pad Mounted Capacitor Three Phase
,Electric Sub Transmission,,Medium Voltage Regulator,Overhead Single Phase VR
,Electric Sub Transmission,,Medium Voltage Regulator,Overhead Three Phase VR
,Electric Sub Transmission,,Medium Voltage Regulator,Pad Mounted Single Phase VR
,Electric Sub Transmission,,Medium Voltage Regulator,Pad Mounted Three Phase VR
,Electric Sub Transmission,,Medium Voltage Service,Primary Meter - Industrial Customer
,Electric Sub Transmission,,Medium Voltage Service,Primary Meter - Utility Customer
,Electric Sub Transmission,,Medium Voltage Service,Primary Meter Circuit Source
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Bypass
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Grounding Switch
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Single Phase Disconnect
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Single Phase Load Break
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Single Phase Recloser
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Single Phase Sectionalizer
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Three Phase Disconnect
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Three Phase Load Break
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Three Phase Recloser
,Electric Sub Transmission,,Medium Voltage Switch,Overhead Three Phase Sectionalizer
,Electric Sub Transmission,,Medium Voltage Switch,Pad Mounted Fault Interrupter
,Electric Sub Transmission,,Medium Voltage Switch,Pad Mounted Single Phase Recloser
,Electric Sub Transmission,,Medium Voltage Switch,Pad Mounted Three Phase Recloser
,Electric Sub Transmission,,Medium Voltage Switch,Pad Mounted Single Phase Sectionalizer
,Electric Sub Transmission,,Medium Voltage Switch,Pad Mounted Three Phase Sectionalizer
,Electric Sub Transmission,,Medium Voltage Switch,Station Single Phase
,Electric Sub Transmission,,Medium Voltage Switch,Station Three Phase
,Electric Sub Transmission,,Medium Voltage Switch,T Blade
,Electric Sub Transmission,,Medium Voltage Switch,V Blade
,Electric Sub Transmission,,Medium Voltage Switch,Underground Single Phase Disconnect
,Electric Sub Transmission,,Medium Voltage Switch,Underground Single Phase Load Break
,Electric Sub Transmission,,Medium Voltage Switch,Underground Three Phase Disconnect
,Electric Sub Transmission,,Medium Voltage Switch,Underground Three Phase Load Break
,Electric Sub Transmission,,Medium Voltage Switch,Underground Transfer Switch
,Electric Sub Transmission,,Medium Voltage Transformer,Grounding Transformer
,Electric Sub Transmission,,Medium Voltage Transformer,Mobile Single Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Mobile Three Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Overhead Single Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Overhead Step Single Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Overhead Step Three Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Overhead Three Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Pad Mounted Single Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Pad Mounted Step Single Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Pad Mounted Step Three Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Pad Mounted Three Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Subsurface Single Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Subsurface Three Phase
,Electric Sub Transmission,,Medium Voltage Transformer,Overhead Three Phase Open Delta
,Electric Sub Transmission,,Medium Voltage Transformer,Overhead Three Phase Open Wye
,Electric Sub Transmission,,Medium Voltage Transformer,Pad Mounted Three Phase Open Delta
,Electric Sub Transmission,,Medium Voltage Transformer,Pad Mounted Three Phase Open Wye
,Electric Sub Transmission,,,
,Electric Sub Transmission,Valid Lines - 29,Asset Group,Asset Type
,Electric Sub Transmission,,High Voltage Busbar,AC Station Single Phase
,Electric Sub Transmission,,High Voltage Busbar,AC Station Three Phase
,Electric Sub Transmission,,High Voltage Busbar,DC Station
,Electric Sub Transmission,,Medium Voltage Conductor,Overhead Single Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Overhead Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Overhead Two Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Submersible Single Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Submersible Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Underground Single Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Underground Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Underground Two Phase
,Electric Sub Transmission,,High Voltage Conductor,AC Overhead
,Electric Sub Transmission,,High Voltage Conductor,AC Submersible
,Electric Sub Transmission,,High Voltage Conductor,AC Underground
,Electric Sub Transmission,,High Voltage Conductor,DC Overhead
,Electric Sub Transmission,,High Voltage Conductor,DC Submersible
,Electric Sub Transmission,,High Voltage Conductor,DC Underground
,Electric Sub Transmission,,Medium Voltage Connector,Single Phase
,Electric Sub Transmission,,Medium Voltage Connector,Three Phase
,Electric Sub Transmission,,Medium Voltage Connector,Two Phase
,Electric Sub Transmission,,High Voltage Connector,AC Connector
,Electric Sub Transmission,,High Voltage Connector,DC Connector
,Electric Sub Transmission,,Neutral,Overhead Bare
,Electric Sub Transmission,,Neutral,Overhead Shielded
,Electric Sub Transmission,,Neutral,Underground Shielded
,Electric Sub Transmission,,High Voltage Static Wire,Double
,Electric Sub Transmission,,High Voltage Static Wire,Single
,Electric Sub Transmission,,Medium Voltage Busbar,Station Single Phase
,Electric Sub Transmission,,Medium Voltage Busbar,Station Three Phase
,Electric Sub Transmission,,,
,Electric Sub Transmission,Aggregrated Lines for SubnetLine Feature - 18,Asset Group,Asset Type
,Electric Sub Transmission,,High Voltage Conductor,AC Overhead
,Electric Sub Transmission,,High Voltage Conductor,AC Submersible
,Electric Sub Transmission,,High Voltage Conductor,AC Underground
,Electric Sub Transmission,,High Voltage Conductor,DC Overhead
,Electric Sub Transmission,,High Voltage Conductor,DC Submersible
,Electric Sub Transmission,,High Voltage Conductor,DC Underground
,Electric Sub Transmission,,Medium Voltage Connector,Single Phase
,Electric Sub Transmission,,Medium Voltage Connector,Three Phase
,Electric Sub Transmission,,Medium Voltage Busbar,Station Single Phase
,Electric Sub Transmission,,Medium Voltage Busbar,Station Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Overhead Single Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Overhead Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Overhead Two Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Submersible Single Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Submersible Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Underground Single Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Underground Three Phase
,Electric Sub Transmission,,Medium Voltage Conductor,Underground Two Phase
,Electric Sub Transmission,,,
,Electric Sub Transmission,Valid Junctions - 0,Asset Group,Asset Type
,Electric Sub Transmission,,,
,Electric Sub Transmission,Subnetwork Diagram Templates - 0,,
,Electric Sub Transmission,,,
4,Electric Distribution Substation,,,
,Electric Distribution Substation,Trace Configuration,Property,Value
